COUNTRY_CODE,SEX,AGE,TIME,RES_POP,pop
AT,F,Y_GE85,2011,0-1000,29115
AT,F,Y_GE85,2011,1000-9999,38179
AT,F,Y_GE85,2011,10000-99999,23761
AT,F,Y_GE85,2011,100000-499999,18953
AT,F,Y_GE85,2011,500000-999999,0
AT,F,Y_GE85,2011,GE1000000,35453
AT,F,Y_LT15,2011,0-1000,150259
AT,F,Y_LT15,2011,1000-9999,156285
AT,F,Y_LT15,2011,10000-99999,87261
AT,F,Y_LT15,2011,100000-499999,68739
AT,F,Y_LT15,2011,500000-999999,0
AT,F,Y_LT15,2011,GE1000000,136231
AT,F,Y15-29,2011,0-1000,178927
AT,F,Y15-29,2011,1000-9999,189081
AT,F,Y15-29,2011,10000-99999,111455
AT,F,Y15-29,2011,100000-499999,104176
AT,F,Y15-29,2011,500000-999999,0
AT,F,Y15-29,2011,GE1000000,189499
AT,F,Y30-49,2011,0-1000,288102
AT,F,Y30-49,2011,1000-9999,320638
AT,F,Y30-49,2011,10000-99999,180671
AT,F,Y30-49,2011,100000-499999,150563
AT,F,Y30-49,2011,500000-999999,0
AT,F,Y30-49,2011,GE1000000,301688
AT,F,Y50-64,2011,0-1000,199621
AT,F,Y50-64,2011,1000-9999,218346
AT,F,Y50-64,2011,10000-99999,126325
AT,F,Y50-64,2011,100000-499999,97970
AT,F,Y50-64,2011,500000-999999,0
AT,F,Y50-64,2011,GE1000000,184338
AT,F,Y65-84,2011,0-1000,173377
AT,F,Y65-84,2011,1000-9999,185626
AT,F,Y65-84,2011,10000-99999,111405
AT,F,Y65-84,2011,100000-499999,88298
AT,F,Y65-84,2011,500000-999999,0
AT,F,Y65-84,2011,GE1000000,163660
AT,M,Y_GE85,2011,0-1000,12217
AT,M,Y_GE85,2011,1000-9999,13925
AT,M,Y_GE85,2011,10000-99999,8389
AT,M,Y_GE85,2011,100000-499999,6687
AT,M,Y_GE85,2011,500000-999999,0
AT,M,Y_GE85,2011,GE1000000,11955
AT,M,Y_LT15,2011,0-1000,157603
AT,M,Y_LT15,2011,1000-9999,163523
AT,M,Y_LT15,2011,10000-99999,91643
AT,M,Y_LT15,2011,100000-499999,72347
AT,M,Y_LT15,2011,500000-999999,0
AT,M,Y_LT15,2011,GE1000000,143799
AT,M,Y15-29,2011,0-1000,195543
AT,M,Y15-29,2011,1000-9999,196350
AT,M,Y15-29,2011,10000-99999,114684
AT,M,Y15-29,2011,100000-499999,102850
AT,M,Y15-29,2011,500000-999999,0
AT,M,Y15-29,2011,GE1000000,186711
AT,M,Y30-49,2011,0-1000,307568
AT,M,Y30-49,2011,1000-9999,314809
AT,M,Y30-49,2011,10000-99999,177168
AT,M,Y30-49,2011,100000-499999,151768
AT,M,Y30-49,2011,500000-999999,0
AT,M,Y30-49,2011,GE1000000,295779
AT,M,Y50-64,2011,0-1000,212514
AT,M,Y50-64,2011,1000-9999,210502
AT,M,Y50-64,2011,10000-99999,116267
AT,M,Y50-64,2011,100000-499999,88956
AT,M,Y50-64,2011,500000-999999,0
AT,M,Y50-64,2011,GE1000000,169268
AT,M,Y65-84,2011,0-1000,146766
AT,M,Y65-84,2011,1000-9999,149357
AT,M,Y65-84,2011,10000-99999,85596
AT,M,Y65-84,2011,100000-499999,66357
AT,M,Y65-84,2011,500000-999999,0
AT,M,Y65-84,2011,GE1000000,123037
BE,F,Y_GE85,2011,0-1000,9244
BE,F,Y_GE85,2011,1000-9999,19111
BE,F,Y_GE85,2011,10000-99999,20478
BE,F,Y_GE85,2011,100000-499999,20516
BE,F,Y_GE85,2011,500000-999999,11029
BE,F,Y_GE85,2011,GE1000000,93733
BE,F,Y_LT15,2011,0-1000,63623
BE,F,Y_LT15,2011,1000-9999,106192
BE,F,Y_LT15,2011,10000-99999,104018
BE,F,Y_LT15,2011,100000-499999,93343
BE,F,Y_LT15,2011,500000-999999,53998
