DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AD,2011,78115,b
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AD,2012,78115,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AD,2013,76246,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AD,2016,71732,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AD,2018,74794,e
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AD,2019,76177,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AD,2020,77543,e
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AD,2022,79535,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2011,2907361,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2012,2903008,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2013,2897770,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2014,2892394,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2015,2885796,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2016,2875592,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2017,2876591,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2018,2870324,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2019,2862427,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2020,2845955,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2021,2829741,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AL,2022,2793592,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2011,3262650,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2012,3274285,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2013,3026878,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2014,3017079,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2015,3010598,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2016,2998577,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2017,2986151,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2018,2972732,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2019,2965269,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2020,2959694,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AM,2021,2963251,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2011,8375164,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2012,8408121,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2013,8451860,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2014,8507786,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2015,8584926,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2016,8700471,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2017,8772865,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2018,8822267,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2019,8858775,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2020,8901064,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2021,8932664,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AT,2022,8978929,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2011,9111078,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2012,9235085,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2013,9356483,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2014,9477119,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2015,9593038,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2016,9705643,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2017,9809981,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2018,9898085,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2019,9981457,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2020,10067108,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2021,10119133,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,AZ,2022,10156366,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BA,2011,3843183,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BA,2012,3839265,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BA,2013,3835645,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BA,2014,3830911,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BA,2015,3825334,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BA,2016,3515982,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BA,2017,3509728,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BA,2018,3500295,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BA,2019,3492018,p
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2011,11000638,b
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2012,11075889,b
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2013,11137974,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2014,11180840,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2015,11237274,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2016,11311117,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2017,11351727,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2018,11398589,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2019,11455519,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2020,11522440,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2021,11554767,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BE,2022,11631136,p
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2011,7369431,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2012,7327224,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2013,7284552,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2014,7245677,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2015,7202198,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2016,7153784,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2017,7101859,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2018,7050034,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2019,7000039,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2020,6951482,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2021,6916548,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BG,2022,6838937,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2011,9481193,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2012,9465150,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2013,9463840,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2014,9468154,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2015,9480868,e
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2016,9498364,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2017,9504704,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2018,9491823,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2019,9475174,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,BY,2020,9408350,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2011,7870134,b
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2012,7954662,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2013,8039060,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2014,8139631,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2015,8237666,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2016,8327126,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2017,8419550,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2018,8484130,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2019,8544527,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2020,8606033,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2021,8670300,
ESTAT:TPS00001(1.0),11/07/22 11:00:00,A,JAN,CH,2022,8736510,p
