County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
01 - Alameda,2013-10-14T00:00:00,In Review,"$50,890,315.00 ",44,Bay Area Counties
01 - Alameda,2013-10-14T00:00:00,Pending Construction,"$840,242,543.36 ",125,Bay Area Counties
01 - Alameda,2013-10-14T00:00:00,In Construction,"$994,245,713.95 ",181,Bay Area Counties
01 - Alameda,2013-10-14T00:00:00,In Closure,"$65,337,613.88 ",82,Bay Area Counties
02 - Alpine,2013-10-14T00:00:00,In Review,$0.00 ,0,""
02 - Alpine,2013-10-14T00:00:00,Pending Construction,$0.00 ,0,""
02 - Alpine,2013-10-14T00:00:00,In Construction,$0.00 ,0,""
02 - Alpine,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
03 - Amador,2013-10-14T00:00:00,In Review,"$1,610,809.00 ",2,""
03 - Amador,2013-10-14T00:00:00,Pending Construction,$0.00 ,0,""
03 - Amador,2013-10-14T00:00:00,In Construction,"$1,793,567.00 ",9,""
03 - Amador,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
04 - Butte,2013-10-14T00:00:00,In Review,"$6,231,107.00 ",11,""
04 - Butte,2013-10-14T00:00:00,Pending Construction,"$2,137,000.00 ",6,""
04 - Butte,2013-10-14T00:00:00,In Construction,"$91,178,383.00 ",16,""
04 - Butte,2013-10-14T00:00:00,In Closure,"$717,911.00 ",5,""
05 - Calaveras,2013-10-14T00:00:00,In Review,$0.00 ,0,""
05 - Calaveras,2013-10-14T00:00:00,Pending Construction,"$42,500.00 ",1,""
05 - Calaveras,2013-10-14T00:00:00,In Construction,$0.00 ,0,""
05 - Calaveras,2013-10-14T00:00:00,In Closure,"$177,991.00 ",2,""
06 - Colusa,2013-10-14T00:00:00,In Review,"$16,951.00 ",2,""
06 - Colusa,2013-10-14T00:00:00,Pending Construction,"$25,000.00 ",1,""
06 - Colusa,2013-10-14T00:00:00,In Construction,$0.00 ,0,""
06 - Colusa,2013-10-14T00:00:00,In Closure,$0.00 ,0,""
07 - Contra Costa,2013-10-14T00:00:00,In Review,"$19,079,779.00 ",29,Bay Area Counties
07 - Contra Costa,2013-10-14T00:00:00,Pending Construction,"$19,570,172.00 ",43,Bay Area Counties
07 - Contra Costa,2013-10-14T00:00:00,In Construction,"$40,655,626.98 ",56,Bay Area Counties
07 - Contra Costa,2013-10-14T00:00:00,In Closure,$0.00 ,18,Bay Area Counties
08 - Del Norte,2013-10-14T00:00:00,In Review,$0.00 ,0,""
08 - Del Norte,2013-10-14T00:00:00,Pending Construction,$0.00 ,0,""
08 - Del Norte,2013-10-14T00:00:00,In Construction,"$6,763,431.00 ",5,""
08 - Del Norte,2013-10-14T00:00:00,In Closure,"$262,211.00 ",1,""
09 - El Dorado,2013-10-14T00:00:00,In Review,"$11,759,315.00 ",6,Greater Sacramento Counties
