"Year","OSHPD Facility Number","Facility Name","County Name","Expected Payer","Count","Total Inpatient Stays"
2009,"010735","ALAMEDA HOSPITAL","ALAMEDA","Medicare",1636,2842
2009,"010735","ALAMEDA HOSPITAL","ALAMEDA","Medi-Cal",357,2842
2009,"010735","ALAMEDA HOSPITAL","ALAMEDA","Private Coverage",674,2842
2009,"010735","ALAMEDA HOSPITAL","ALAMEDA","Workers' Compensation",11,2842
2009,"010735","ALAMEDA HOSPITAL","ALAMEDA","Self Pay",164,2842
2009,"010739","ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","Medicare",3977,25184
2009,"010739","ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","Medi-Cal",9661,25184
2009,"010739","ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","Private Coverage",10626,25184
2009,"010739","ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","Workers' Compensation",43,25184
2009,"010739","ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","County Indigent Programs",2,25184
2009,"010739","ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","Other Government",197,25184
2009,"010739","ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","Other Indigent",180,25184
2009,"010739","ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","Self Pay",494,25184
2009,"010739","ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS","ALAMEDA","Other Payer",4,25184
2009,"010776","CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND","ALAMEDA","Medicare",28,10910
2009,"010776","CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND","ALAMEDA","Medi-Cal",4501,10910
2009,"010776","CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND","ALAMEDA","Private Coverage",3185,10910
2009,"010776","CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND","ALAMEDA","Other Government",3093,10910
2009,"010776","CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND","ALAMEDA","Self Pay",95,10910
2009,"010776","CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND","ALAMEDA","Other Payer",8,10910
