county,age_cat,sex,race7,pop
Alameda County,0-17,FEMALE,1,2607
Alameda County,0-17,FEMALE,2,901
Alameda County,0-17,FEMALE,3,38
Alameda County,0-17,FEMALE,4,1818
Alameda County,0-17,FEMALE,5,57
Alameda County,0-17,FEMALE,6,684
Alameda County,0-17,FEMALE,7,2225
Alameda County,0-17,FEMALE,1,2657
Alameda County,0-17,FEMALE,2,955
Alameda County,0-17,FEMALE,3,31
Alameda County,0-17,FEMALE,4,1742
Alameda County,0-17,FEMALE,5,56
Alameda County,0-17,FEMALE,6,668
Alameda County,0-17,FEMALE,7,2173
Alameda County,0-17,FEMALE,1,2642
Alameda County,0-17,FEMALE,2,953
Alameda County,0-17,FEMALE,3,38
Alameda County,0-17,FEMALE,4,1882
Alameda County,0-17,FEMALE,5,50
Alameda County,0-17,FEMALE,6,650
Alameda County,0-17,FEMALE,7,2042
Alameda County,0-17,FEMALE,1,2579
Alameda County,0-17,FEMALE,2,918
Alameda County,0-17,FEMALE,3,38
Alameda County,0-17,FEMALE,4,1824
Alameda County,0-17,FEMALE,5,54
Alameda County,0-17,FEMALE,6,626
Alameda County,0-17,FEMALE,7,2173
Alameda County,0-17,FEMALE,1,2549
Alameda County,0-17,FEMALE,2,717
Alameda County,0-17,FEMALE,3,28
Alameda County,0-17,FEMALE,4,2473
Alameda County,0-17,FEMALE,5,60
Alameda County,0-17,FEMALE,6,676
Alameda County,0-17,FEMALE,7,2224
Alameda County,0-17,FEMALE,1,2866
Alameda County,0-17,FEMALE,2,763
Alameda County,0-17,FEMALE,3,17
Alameda County,0-17,FEMALE,4,2449
Alameda County,0-17,FEMALE,5,61
Alameda County,0-17,FEMALE,6,686
Alameda County,0-17,FEMALE,7,2716
Alameda County,0-17,FEMALE,1,2930
Alameda County,0-17,FEMALE,2,784
Alameda County,0-17,FEMALE,3,28
Alameda County,0-17,FEMALE,4,2493
Alameda County,0-17,FEMALE,5,73
Alameda County,0-17,FEMALE,6,679
Alameda County,0-17,FEMALE,7,2856
Alameda County,0-17,FEMALE,1,2822
Alameda County,0-17,FEMALE,2,823
Alameda County,0-17,FEMALE,3,27
Alameda County,0-17,FEMALE,4,2372
Alameda County,0-17,FEMALE,5,77
Alameda County,0-17,FEMALE,6,626
Alameda County,0-17,FEMALE,7,2670
Alameda County,0-17,FEMALE,1,2828
Alameda County,0-17,FEMALE,2,896
Alameda County,0-17,FEMALE,3,36
Alameda County,0-17,FEMALE,4,2277
Alameda County,0-17,FEMALE,5,68
Alameda County,0-17,FEMALE,6,631
Alameda County,0-17,FEMALE,7,2643
Alameda County,0-17,FEMALE,1,2832
Alameda County,0-17,FEMALE,2,927
Alameda County,0-17,FEMALE,3,35
Alameda County,0-17,FEMALE,4,2190
Alameda County,0-17,FEMALE,5,82
Alameda County,0-17,FEMALE,6,641
Alameda County,0-17,FEMALE,7,2517
Alameda County,0-17,FEMALE,1,2705
Alameda County,0-17,FEMALE,2,903
Alameda County,0-17,FEMALE,3,28
Alameda County,0-17,FEMALE,4,1999
Alameda County,0-17,FEMALE,5,82
Alameda County,0-17,FEMALE,6,590
Alameda County,0-17,FEMALE,7,2665
Alameda County,0-17,FEMALE,1,2718
Alameda County,0-17,FEMALE,2,1054
Alameda County,0-17,FEMALE,3,33
Alameda County,0-17,FEMALE,4,1965
Alameda County,0-17,FEMALE,5,77
Alameda County,0-17,FEMALE,6,559
Alameda County,0-17,FEMALE,7,2652
Alameda County,0-17,FEMALE,1,2147
Alameda County,0-17,FEMALE,2,968
Alameda County,0-17,FEMALE,3,40
Alameda County,0-17,FEMALE,4,2131
Alameda County,0-17,FEMALE,5,73
Alameda County,0-17,FEMALE,6,711
Alameda County,0-17,FEMALE,7,3076
Alameda County,0-17,FEMALE,1,1968
Alameda County,0-17,FEMALE,2,951
Alameda County,0-17,FEMALE,3,26
Alameda County,0-17,FEMALE,4,2141
Alameda County,0-17,FEMALE,5,71
Alameda County,0-17,FEMALE,6,802
Alameda County,0-17,FEMALE,7,3071
Alameda County,0-17,FEMALE,1,1944
Alameda County,0-17,FEMALE,2,1027
Alameda County,0-17,FEMALE,3,20
Alameda County,0-17,FEMALE,4,2312
Alameda County,0-17,FEMALE,5,71
Alameda County,0-17,FEMALE,6,744
Alameda County,0-17,FEMALE,7,3182
Alameda County,0-17,FEMALE,1,2435
Alameda County,0-17,FEMALE,2,1187
Alameda County,0-17,FEMALE,3,22
Alameda County,0-17,FEMALE,4,2523
Alameda County,0-17,FEMALE,5,97
Alameda County,0-17,FEMALE,6,647
Alameda County,0-17,FEMALE,7,3221
Alameda County,0-17,FEMALE,1,2386
Alameda County,0-17,FEMALE,2,1136
Alameda County,0-17,FEMALE,3,24
Alameda County,0-17,FEMALE,4,2360
Alameda County,0-17,FEMALE,5,84
Alameda County,0-17,FEMALE,6,693
Alameda County,0-17,FEMALE,7,3098
Alameda County,0-17,FEMALE,1,2385
Alameda County,0-17,FEMALE,2,1236
Alameda County,0-17,FEMALE,3,27
Alameda County,0-17,FEMALE,4,2518
Alameda County,0-17,FEMALE,5,104
Alameda County,0-17,FEMALE,6,667
Alameda County,0-17,FEMALE,7,3012
Alameda County,18-44,FEMALE,1,2846
Alameda County,18-44,FEMALE,2,1306
Alameda County,18-44,FEMALE,3,37
Alameda County,18-44,FEMALE,4,2833
Alameda County,18-44,FEMALE,5,112
Alameda County,18-44,FEMALE,6,753
Alameda County,18-44,FEMALE,7,3415
Alameda County,18-44,FEMALE,1,3056
Alameda County,18-44,FEMALE,2,1329
Alameda County,18-44,FEMALE,3,28
Alameda County,18-44,FEMALE,4,3077
Alameda County,18-44,FEMALE,5,101
Alameda County,18-44,FEMALE,6,828
Alameda County,18-44,FEMALE,7,3460
Alameda County,18-44,FEMALE,1,2961
Alameda County,18-44,FEMALE,2,1358
Alameda County,18-44,FEMALE,3,33
Alameda County,18-44,FEMALE,4,3047
