County Name,County Type,Demographic Category,Demographic Value,Estimated Population,Dt Admin,Total Partial Vaccinated,Cumulative Fully Vaccinated,Cumulative At Least ONe Dose,Cumulative Unvaccinated,Suppress Data,Cumulative Up To Date Vax,Quarter
Alameda,MIXED,Age Group,12-17,120945,2023-08-26,6246,102666,108957,11988,FALSE,31450,2023-07-01
Alameda,MIXED,Age Group,12-17,120945,2023-06-30,6145,102665,108855,12090,FALSE,30341,2023-04-01
Alameda,MIXED,Age Group,12-17,120945,2023-03-31,6004,102641,108690,12255,FALSE,27885,2023-01-01
Alameda,MIXED,Age Group,12-17,120945,2022-12-31,5921,102510,108472,12473,FALSE,23857,2022-10-01
Alameda,MIXED,Age Group,12-17,120945,2022-09-30,5630,102290,107955,12990,FALSE,3955,2022-07-01
Alameda,MIXED,Age Group,12-17,120945,2022-06-30,5466,101522,107022,13923,FALSE,17,2022-04-01
Alameda,MIXED,Age Group,12-17,120945,2022-03-31,5477,100385,105892,15053,FALSE,12,2022-01-01
Alameda,MIXED,Age Group,12-17,120945,2021-12-31,7229,92643,99900,21045,FALSE,8,2021-10-01
Alameda,MIXED,Age Group,12-17,120945,2021-09-30,6187,78999,85213,35732,FALSE,3,2021-07-01
Alameda,MIXED,Age Group,12-17,120945,2021-06-30,10463,53938,64419,56526,FALSE,2,2021-04-01
Alameda,MIXED,Age Group,12-17,120945,2021-03-31,715,406,1125,119820,FALSE,0,2021-01-01
Alameda,MIXED,Age Group,12-17,120945,2020-12-31,7,1,8,120937,FALSE,0,2020-10-01
Alameda,MIXED,Age Group,12-17,120945,2020-09-30,0,0,0,120945,FALSE,0,2020-07-01
Alameda,MIXED,Age Group,18-49,754988,2023-08-26,63264,669899,733177,21811,FALSE,222280,2023-07-01
Alameda,MIXED,Age Group,18-49,754988,2023-06-30,62723,669899,732636,22352,FALSE,218520,2023-04-01
Alameda,MIXED,Age Group,18-49,754988,2023-03-31,61705,669812,731531,23457,FALSE,208970,2023-01-01
Alameda,MIXED,Age Group,18-49,754988,2022-12-31,59921,669131,729067,25921,FALSE,184444,2022-10-01
Alameda,MIXED,Age Group,18-49,754988,2022-09-30,53631,668100,721745,33243,FALSE,42320,2022-07-01
Alameda,MIXED,Age Group,18-49,754988,2022-06-30,51022,665537,716573,38415,FALSE,88,2022-04-01
Alameda,MIXED,Age Group,18-49,754988,2022-03-31,49271,661411,710696,44292,FALSE,75,2022-01-01
Alameda,MIXED,Age Group,18-49,754988,2021-12-31,42900,643895,686809,68179,FALSE,59,2021-10-01
Alameda,MIXED,Age Group,18-49,754988,2021-09-30,40617,609695,650329,104659,FALSE,26,2021-07-01
Alameda,MIXED,Age Group,18-49,754988,2021-06-30,41265,542258,583538,171450,FALSE,16,2021-04-01
Alameda,MIXED,Age Group,18-49,754988,2021-03-31,100111,148193,248314,506674,FALSE,1,2021-01-01
Alameda,MIXED,Age Group,18-49,754988,2020-12-31,14572,35,14607,740381,FALSE,0,2020-10-01
Alameda,MIXED,Age Group,18-49,754988,2020-09-30,7,18,25,754963,FALSE,0,2020-07-01
Alameda,MIXED,Age Group,5-11,131469,2023-08-26,6795,90000,96807,34662,FALSE,28347,2023-07-01
Alameda,MIXED,Age Group,5-11,131469,2023-06-30,6586,89990,96588,34881,FALSE,27145,2023-04-01
Alameda,MIXED,Age Group,5-11,131469,2023-03-31,6252,89908,96172,35297,FALSE,24089,2023-01-01
Alameda,MIXED,Age Group,5-11,131469,2022-12-31,6244,89239,95495,35974,FALSE,19110,2022-10-01
Alameda,MIXED,Age Group,5-11,131469,2022-09-30,6005,87953,93969,37500,FALSE,34,2022-07-01
Alameda,MIXED,Age Group,5-11,131469,2022-06-30,6275,83438,89723,41746,FALSE,23,2022-04-01
Alameda,MIXED,Age Group,5-11,131469,2022-03-31,5989,78634,84633,46836,FALSE,13,2022-01-01
