Residence State,Residence State Code,UCD - ICD Sub-Chapter,UCD - ICD Sub-Chapter Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths
Alabama,01,Intestinal infectious diseases,A00-A09,55-64 years,55-64,15
Alabama,01,Intestinal infectious diseases,A00-A09,65-74 years,65-74,28
Alabama,01,Intestinal infectious diseases,A00-A09,75-84 years,75-84,42
Alabama,01,Intestinal infectious diseases,A00-A09,85+ years,85+,25
Alabama,01,Other bacterial diseases,A30-A49,25-34 years,25-34,17
Alabama,01,Other bacterial diseases,A30-A49,35-44 years,35-44,38
Alabama,01,Other bacterial diseases,A30-A49,45-54 years,45-54,94
Alabama,01,Other bacterial diseases,A30-A49,55-64 years,55-64,232
Alabama,01,Other bacterial diseases,A30-A49,65-74 years,65-74,379
Alabama,01,Other bacterial diseases,A30-A49,75-84 years,75-84,296
Alabama,01,Other bacterial diseases,A30-A49,85+ years,85+,182
Alabama,01,Viral hepatitis,B15-B19,55-64 years,55-64,22
Alabama,01,Human immunodeficiency virus [HIV] disease,B20-B24,25-34 years,25-34,10
Alabama,01,Human immunodeficiency virus [HIV] disease,B20-B24,35-44 years,35-44,13
Alabama,01,Human immunodeficiency virus [HIV] disease,B20-B24,45-54 years,45-54,23
Alabama,01,Human immunodeficiency virus [HIV] disease,B20-B24,55-64 years,55-64,29
Alabama,01,Human immunodeficiency virus [HIV] disease,B20-B24,65-74 years,65-74,15
Alabama,01,Malignant neoplasms,C00-C97,5-14 years,5-14,18
Alabama,01,Malignant neoplasms,C00-C97,15-24 years,15-24,22
Alabama,01,Malignant neoplasms,C00-C97,25-34 years,25-34,69
Alabama,01,Malignant neoplasms,C00-C97,35-44 years,35-44,197
Alabama,01,Malignant neoplasms,C00-C97,45-54 years,45-54,619
Alabama,01,Malignant neoplasms,C00-C97,55-64 years,55-64,2057
Alabama,01,Malignant neoplasms,C00-C97,65-74 years,65-74,3322
Alabama,01,Malignant neoplasms,C00-C97,75-84 years,75-84,2795
Alabama,01,Malignant neoplasms,C00-C97,85+ years,85+,1323
Alabama,01,Neoplasms of uncertain or unknown behaviour,D37-D48,55-64 years,55-64,13
Alabama,01,Neoplasms of uncertain or unknown behaviour,D37-D48,65-74 years,65-74,52
Alabama,01,Neoplasms of uncertain or unknown behaviour,D37-D48,75-84 years,75-84,56
Alabama,01,Neoplasms of uncertain or unknown behaviour,D37-D48,85+ years,85+,51
Alabama,01,Aplastic and other anaemias,D60-D64,55-64 years,55-64,15
Alabama,01,Aplastic and other anaemias,D60-D64,65-74 years,65-74,28
Alabama,01,Aplastic and other anaemias,D60-D64,75-84 years,75-84,22
Alabama,01,Aplastic and other anaemias,D60-D64,85+ years,85+,21
Alabama,01,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,65-74 years,65-74,11
Alabama,01,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,75-84 years,75-84,13
Alabama,01,Certain disorders involving the immune mechanism,D80-D89,65-74 years,65-74,12
Alabama,01,Disorders of thyroid gland,E00-E07,65-74 years,65-74,15
Alabama,01,Disorders of thyroid gland,E00-E07,75-84 years,75-84,13
Alabama,01,Disorders of thyroid gland,E00-E07,85+ years,85+,11
Alabama,01,Diabetes mellitus,E10-E14,25-34 years,25-34,26
Alabama,01,Diabetes mellitus,E10-E14,35-44 years,35-44,74
Alabama,01,Diabetes mellitus,E10-E14,45-54 years,45-54,150
Alabama,01,Diabetes mellitus,E10-E14,55-64 years,55-64,333
Alabama,01,Diabetes mellitus,E10-E14,65-74 years,65-74,475
Alabama,01,Diabetes mellitus,E10-E14,75-84 years,75-84,387
Alabama,01,Diabetes mellitus,E10-E14,85+ years,85+,199
Alabama,01,Malnutrition,E40-E46,55-64 years,55-64,32
Alabama,01,Malnutrition,E40-E46,65-74 years,65-74,75
Alabama,01,Malnutrition,E40-E46,75-84 years,75-84,143
Alabama,01,Malnutrition,E40-E46,85+ years,85+,249
Alabama,01,Obesity and other hyperalimentation,E65-E68,35-44 years,35-44,22
Alabama,01,Obesity and other hyperalimentation,E65-E68,45-54 years,45-54,32
Alabama,01,Obesity and other hyperalimentation,E65-E68,55-64 years,55-64,64
Alabama,01,Obesity and other hyperalimentation,E65-E68,65-74 years,65-74,32
Alabama,01,Obesity and other hyperalimentation,E65-E68,75-84 years,75-84,20
Alabama,01,Metabolic disorders,E70-E88,25-34 years,25-34,10
Alabama,01,Metabolic disorders,E70-E88,35-44 years,35-44,10
Alabama,01,Metabolic disorders,E70-E88,45-54 years,45-54,30
Alabama,01,Metabolic disorders,E70-E88,55-64 years,55-64,73
Alabama,01,Metabolic disorders,E70-E88,65-74 years,65-74,113
Alabama,01,Metabolic disorders,E70-E88,75-84 years,75-84,122
Alabama,01,Metabolic disorders,E70-E88,85+ years,85+,127
