COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE
CALIFORNIA,2015,Total population,All ages,All ages,191904,50.4
ALAMEDA,2015,Total population,All ages,All ages,9939,64.3
ALPINE,2015,Total population,All ages,All ages,0,0
AMADOR,2015,Total population,All ages,All ages,196,58.4
BUTTE,2015,Total population,All ages,All ages,1044,50.2
CALAVERAS,2015,Total population,All ages,All ages,185,48
COLUSA,2015,Total population,All ages,All ages,97,41.4
CONTRA COSTA,2015,Total population,All ages,All ages,6858,65.2
DEL NORTE,2015,Total population,All ages,All ages,140,53
EL DORADO,2015,Total population,All ages,All ages,592,36.4
FRESNO,2015,Total population,All ages,All ages,7936,77
GLENN,2015,Total population,All ages,All ages,122,42.6
HUMBOLDT,2015,Total population,All ages,All ages,835,63.4
IMPERIAL,2015,Total population,All ages,All ages,1388,71.2
INYO,2015,Total population,All ages,All ages,88,53.5
KERN,2015,Total population,All ages,All ages,5859,62.3
KINGS,2015,Total population,All ages,All ages,1250,78.6
LAKE,2015,Total population,All ages,All ages,478,80.4
LASSEN,2015,Total population,All ages,All ages,148,45.3
LOS ANGELES,2015,Total population,All ages,All ages,52227,53.1
MADERA,2015,Total population,All ages,All ages,1031,62.3
MARIN,2015,Total population,All ages,All ages,541,22.2
MARIPOSA,2015,Total population,All ages,All ages,79,47.4
MENDOCINO,2015,Total population,All ages,All ages,479,57.4
MERCED,2015,Total population,All ages,All ages,2425,87.4
MODOC,2015,Total population,All ages,All ages,53,67.9
MONO,2015,Total population,All ages,All ages,43,32
MONTEREY,2015,Total population,All ages,All ages,2194,50.2
NAPA,2015,Total population,All ages,All ages,572,41.9
NEVADA,2015,Total population,All ages,All ages,351,42.8
ORANGE,2015,Total population,All ages,All ages,10275,33.9
PLACER,2015,Total population,All ages,All ages,1125,31.4
PLUMAS,2015,Total population,All ages,All ages,99,56.3
RIVERSIDE,2015,Total population,All ages,All ages,10111,43.2
SACRAMENTO,2015,Total population,All ages,All ages,10109,69.2
SAN BENITO,2015,Total population,All ages,All ages,285,50.1
SAN BERNARDINO,2015,Total population,All ages,All ages,12761,59.3
SAN DIEGO,2015,Total population,All ages,All ages,11646,37
SAN FRANCISCO,2015,Total population,All ages,All ages,3141,41.3
SAN JOAQUIN,2015,Total population,All ages,All ages,4802,66.2
SAN LUIS OBISPO,2015,Total population,All ages,All ages,950,40.1
SAN MATEO,2015,Total population,All ages,All ages,2695,36.4
SANTA BARBARA,2015,Total population,All ages,All ages,1734,40.7
SANTA CLARA,2015,Total population,All ages,All ages,6521,35.1
SANTA CRUZ,2015,Total population,All ages,All ages,910,36.5
SHASTA,2015,Total population,All ages,All ages,1015,60.5
SIERRA,2015,Total population,All ages,All ages,9,NA
SISKIYOU,2015,Total population,All ages,All ages,176,47
SOLANO,2015,Total population,All ages,All ages,3415,83.2
SONOMA,2015,Total population,All ages,All ages,1936,40.2
STANISLAUS,2015,Total population,All ages,All ages,3281,60.7
SUTTER,2015,Total population,All ages,All ages,337,34.1
TEHAMA,2015,Total population,All ages,All ages,323,52.7
TRINITY,2015,Total population,All ages,All ages,67,60.5
TULARE,2015,Total population,All ages,All ages,2542,51.3
TUOLUMNE,2015,Total population,All ages,All ages,257,53.1
VENTURA,2015,Total population,All ages,All ages,2933,35.3
YOLO,2015,Total population,All ages,All ages,852,44.1
YUBA,2015,Total population,All ages,All ages,346,45.4
CALIFORNIA,2015,Child vs. adult,0–17 years,0–17 years,74050,80.6
ALAMEDA,2015,Child vs. adult,0–17 years,0–17 years,3426,96.7
ALPINE,2015,Child vs. adult,0–17 years,0–17 years,0,0
AMADOR,2015,Child vs. adult,0–17 years,0–17 years,45,85.1
BUTTE,2015,Child vs. adult,0–17 years,0–17 years,308,68.7
CALAVERAS,2015,Child vs. adult,0–17 years,0–17 years,46,63
COLUSA,2015,Child vs. adult,0–17 years,0–17 years,48,77
CONTRA COSTA,2015,Child vs. adult,0–17 years,0–17 years,2330,95.2
DEL NORTE,2015,Child vs. adult,0–17 years,0–17 years,49,85.2
EL DORADO,2015,Child vs. adult,0–17 years,0–17 years,170,46.8
FRESNO,2015,Child vs. adult,0–17 years,0–17 years,4482,156
