county,age_cat,sex,race7,pop
Alameda County,0-17,FEMALE,1,2614
Alameda County,0-17,FEMALE,2,942
Alameda County,0-17,FEMALE,3,38
Alameda County,0-17,FEMALE,4,1790
Alameda County,0-17,FEMALE,5,55
Alameda County,0-17,FEMALE,6,657
Alameda County,0-17,FEMALE,7,2157
Alameda County,0-17,FEMALE,1,2594
Alameda County,0-17,FEMALE,2,888
Alameda County,0-17,FEMALE,3,37
Alameda County,0-17,FEMALE,4,1806
Alameda County,0-17,FEMALE,5,56
Alameda County,0-17,FEMALE,6,679
Alameda County,0-17,FEMALE,7,2210
Alameda County,0-17,FEMALE,1,2650
Alameda County,0-17,FEMALE,2,955
Alameda County,0-17,FEMALE,3,31
Alameda County,0-17,FEMALE,4,1738
Alameda County,0-17,FEMALE,5,55
Alameda County,0-17,FEMALE,6,666
Alameda County,0-17,FEMALE,7,2166
Alameda County,0-17,FEMALE,1,2636
Alameda County,0-17,FEMALE,2,950
Alameda County,0-17,FEMALE,3,40
Alameda County,0-17,FEMALE,4,1878
Alameda County,0-17,FEMALE,5,50
Alameda County,0-17,FEMALE,6,647
Alameda County,0-17,FEMALE,7,2033
Alameda County,0-17,FEMALE,1,2570
Alameda County,0-17,FEMALE,2,915
Alameda County,0-17,FEMALE,3,35
Alameda County,0-17,FEMALE,4,1821
Alameda County,0-17,FEMALE,5,53
Alameda County,0-17,FEMALE,6,627
Alameda County,0-17,FEMALE,7,2170
Alameda County,0-17,FEMALE,1,2542
Alameda County,0-17,FEMALE,2,713
Alameda County,0-17,FEMALE,3,27
Alameda County,0-17,FEMALE,4,2467
Alameda County,0-17,FEMALE,5,60
Alameda County,0-17,FEMALE,6,672
Alameda County,0-17,FEMALE,7,2218
Alameda County,0-17,FEMALE,1,2859
Alameda County,0-17,FEMALE,2,759
Alameda County,0-17,FEMALE,3,17
Alameda County,0-17,FEMALE,4,2444
Alameda County,0-17,FEMALE,5,61
Alameda County,0-17,FEMALE,6,685
Alameda County,0-17,FEMALE,7,2709
