Location,Total Traditional Medicare Part A and/or Part B Enrollees,Total Medicare Part A and/or Part B Persons With Utilization,Total Medicare Part A and/or Part B Program Payments,Total Traditional Medicare Part A Enrollees,Total Medicare Part A Persons With Utilization,Total Medicare Part A Program Payments,Total Traditional Medicare Part B Enrollees,Total Medicare Part B Persons With Utilization,Total Medicare Part B Program Payments
UNITED STATES,35681342,33193839,"$395,342,489,207",35377335,6627749,"$187,231,365,080",30726771,32592838,"$208,111,124,126"
ALABAMA,528983,512627,"$5,653,598,984",522820,116144,"$2,684,356,995",456357,499789,"$2,969,241,988"
ALASKA,105831,90717,"$1,051,813,241",105399,13055,"$467,738,024",93234,89885,"$584,075,217"
ARIZONA,767513,720762,"$7,745,898,078",757650,135153,"$3,352,520,020",662898,703776,"$4,393,378,059"
ARKANSAS,430724,409441,"$4,272,207,750",429009,81568,"$1,954,272,166",384774,403599,"$2,317,935,584"
CALIFORNIA,3436742,3009051,"$43,255,054,191",3311257,588308,"$21,825,304,810",2876785,2933568,"$21,429,749,381"
COLORADO,518796,467294,"$4,904,130,297",510771,81335,"$2,113,982,177",440280,458267,"$2,790,148,120"
CONNECTICUT,363399,326323,"$4,433,665,245",361543,70774,"$2,192,521,128",297814,320526,"$2,241,144,117"
DELAWARE,171134,162925,"$1,954,121,238",170321,29004,"$894,050,972",154839,161216,"$1,060,070,266"
DISTRICT OF COLUMBIA,70224,57112,"$794,142,024",69203,11547,"$426,460,644",55171,55774,"$367,681,380"
FLORIDA,2359900,2272148,"$28,720,918,314",2353861,506165,"$12,763,280,221",2064027,2226320,"$15,957,638,094"
GEORGIA,953980,900795,"$10,195,174,819",935418,184063,"$4,769,434,287",824646,881963,"$5,425,740,532"
HAWAII,145637,116113,"$1,088,203,917",145288,18643,"$543,127,618",108392,112687,"$545,076,299"
IDAHO,215741,201173,"$1,926,353,213",215612,33571,"$790,234,751",190798,197751,"$1,136,118,462"
ILLINOIS,1507029,1395073,"$17,004,301,474",1489215,280203,"$7,832,123,746",1313026,1377681,"$9,172,177,728"
INDIANA,775334,745458,"$8,340,501,710",773366,153294,"$3,951,144,537",685127,734207,"$4,389,357,173"
IOWA,465570,456550,"$4,587,577,906",465338,80032,"$1,893,667,043",422730,452538,"$2,693,910,863"
KANSAS,414903,390372,"$4,370,255,665",414155,78107,"$1,954,248,106",371213,385624,"$2,416,007,560"
KENTUCKY,536961,529922,"$5,434,363,793",526707,103934,"$2,490,556,294",475706,520811,"$2,943,807,499"
LOUISIANA,473575,459953,"$5,517,151,179",472128,101148,"$2,670,820,098",412301,451437,"$2,846,331,082"
MAINE,187420,171388,"$1,716,550,370",185829,30294,"$757,180,391",161984,168865,"$959,369,979"
MARYLAND,898929,779476,"$10,696,224,308",897175,139427,"$5,044,757,576",754510,767742,"$5,651,466,732"
MASSACHUSETTS,973092,881664,"$11,347,566,027",971444,177077,"$5,641,311,329",837111,872135,"$5,706,254,698"
MICHIGAN,1024125,984680,"$11,141,909,988",1022946,214282,"$5,378,673,779",894259,966947,"$5,763,236,209"
MINNESOTA,509904,532333,"$5,858,445,932",508826,104932,"$2,805,279,146",431720,523899,"$3,053,166,786"
MISSISSIPPI,431483,421242,"$4,931,158,545",431193,84029,"$2,192,042,115",393761,415907,"$2,739,116,430"
