Census Tract,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,Total Population,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%),County
6001400100,4.8479879853920496,2.7987897125567298,1-5% (lowest scores),3120,7.82,66.12,26.06,3.78,74.26,3.43,0,12.53,5.99,Alameda County
6001400200,4.8821074626317102,2.8744326777609701,1-5% (lowest scores),2007,10.46,66.32,23.22,8.67,73.49,2.59,0.2,8.52,6.53,Alameda County
6001400300,11.2042444639356,15.935451336359099,15-20%,5051,11.42,73.04,15.54,6.95,67.99,9.09,0,12.14,3.84,Alameda County
6001400400,12.3901903019727,18.9737771053959,15-20%,4007,9.38,78.79,11.83,12.1,63.74,6.64,0.87,10.48,6.16,Alameda County
6001400500,16.734730783552799,29.740292486132098,25-30%,4124,9.12,81.96,8.92,9.46,45.44,21.39,0,11.34,12.37,Alameda County
6001400600,20.024315441033298,37.594553706505302,35-40%,1745,9.97,81.43,8.6,7.51,49.28,20.52,0.17,10.54,11.98,Alameda County
6001400700,36.712423695168198,70.133635905194197,70-75%,5128,7.62,82.45,9.93,19.38,38.28,28.24,0,6.42,7.68,Alameda County
6001400800,37.097201222363601,70.713565305093297,70-75%,4069,9.04,81.52,9.44,10.62,43.55,23.27,0.2,15.19,7.18,Alameda County
6001400900,40.7060364177987,76.147251638930896,75-80%,2471,11.17,79.81,9.02,15.82,41.64,28.77,2.47,4.09,7.2,Alameda County
6001401000,43.736745402206402,80.408472012102905,80-85%,6133,9.96,80.61,9.42,18.72,33.44,30.36,0,8.27,9.21,Alameda County
6001401100,32.9266050471374,63.855269793242599,60-65%,4287,8.82,84.7,6.48,10.75,52.39,7.74,0,20.08,9.03,Alameda County
6001401200,20.2498287024893,38.111447302067603,35-40%,2619,8.59,82.44,8.97,12.18,61.02,11.26,0.08,11.49,3.97,Alameda County
6001401300,43.677588833029901,80.345436207765999,80-85%,3921,3.9,81.92,14.18,10.12,38.41,28.51,0.61,16.76,5.59,Alameda County
6001401400,45.084137702037097,82.123045890065598,80-85%,4732,8.09,84.53,7.38,18.96,25.74,31.93,1.54,12.37,9.47,Alameda County
6001401500,44.528207896718598,81.429652042360104,80-85%,2839,4.54,84.71,10.74,14.12,36.91,37.34,0,5.39,6.23,Alameda County
6001401600,48.779958707055997,86.4977307110439,85-90%,2289,6.68,88.16,5.16,20.05,28.66,35.91,0,11.36,4.02,Alameda County
6001401700,43.4695037587936,80.093292990418604,80-85%,3018,12.06,80.22,7.72,26.64,38.87,17.03,0,12.16,5.3,Alameda County
6001401800,45.098748101804702,82.160867372667695,80-85%,1801,10.94,80.07,9,20.27,33.48,38.2,0.22,5.5,2.33,Alameda County
6001402200,55.820246197620399,93.116490166414494,90-95%,2477,11.51,79.09,9.41,16.23,29.87,31.77,1.25,16.35,4.52,Alameda County
6001402400,37.306780864009497,71.016137165910195,70-75%,2866,8.86,74.56,16.57,9.14,24.11,48.39,0,12.98,5.37,Alameda County
6001402500,50.813152200588704,88.666162380231995,85-90%,1781,17.24,72.99,9.77,14.77,10.89,58.39,0,13.31,2.64,Alameda County
6001402600,42.117645753393099,78.227433182047406,75-80%,1243,5.87,68.46,25.66,16.49,14.4,25.91,0.48,38.7,4.02,Alameda County
6001402700,38.874768962590402,73.298033282904697,70-75%,1890,9.68,82.65,7.67,20.58,23.23,42.28,0.63,10.85,2.43,Alameda County
6001402800,41.721407297923598,77.660110943015596,75-80%,4480,5.58,75.27,19.15,6.27,28.19,38.08,0.58,18.57,8.3,Alameda County
6001402900,36.393323595293403,69.7428139183056,65-70%,1406,0.43,71.41,28.17,17.64,21.55,17.14,0.21,37.55,5.9,Alameda County
6001403000,53.407987556582597,91.238023197176005,90-95%,2905,4.68,55.83,39.48,2.27,6.51,4.37,0.34,83.93,2.58,Alameda County
6001403100,35.959563431732803,69.099848714069594,65-70%,2101,5.19,82.67,12.14,13.04,27.84,17.66,0.29,38.41,2.76,Alameda County
6001403300,45.8802101465917,83.055975794251097,80-85%,4178,3.52,75.78,20.7,6.03,26.16,7.47,2.39,52.23,5.72,Alameda County
6001403400,29.434636677390401,57.6651538073626,55-60%,4340,4.26,74.65,21.08,8.18,39.54,19.15,0.44,26.8,5.9,Alameda County
6001403501,25.309847204491,49.483106404437699,45-50%,4492,7.59,74.93,17.48,12.27,37.47,23.89,0.53,19.46,6.39,Alameda County
6001403502,19.873957228842698,37.216338880484102,35-40%,2044,3.38,83.46,13.16,11.94,42.03,25.44,0,11.11,9.49,Alameda County
6001403600,25.5834079783193,50.050428643469502,50-55%,5570,9.41,80.48,10.11,13.91,29.34,41.24,0.23,9.37,5.91,Alameda County
6001403701,14.0959869740038,23.2854261220373,20-25%,2968,4.14,77.29,18.56,12.2,43.03,26.75,0,12.6,5.42,Alameda County
6001403702,14.9815736728885,25.529500756429702,25-30%,1930,5.54,77.67,16.79,9.79,51.92,15.03,0,17.67,5.6,Alameda County
6001403800,11.719295052515999,17.133131618759499,15-20%,3351,7.67,78.96,13.37,3.58,67.74,12.98,0,11.82,3.88,Alameda County
6001403900,16.0022555858313,27.824004034291502,25-30%,4051,6.74,77.09,16.17,7.43,57.29,13.55,0.22,16.17,5.33,Alameda County
6001404000,8.8918537295234295,10.463943519919299,10-15%,2895,5.94,82.28,11.78,16.41,55.2,7.25,1,12.64,7.5,Alameda County
6001404101,9.3454344263404803,11.283408976298499,10-15%,3017,3.81,79.52,16.67,7.03,62.18,7.86,0.36,12.6,9.98,Alameda County
6001404102,12.9225382372005,20.347957639939501,20-25%,2653,4.98,62.16,32.87,9.88,66.49,4.71,1.36,12.77,4.79,Alameda County
